Platte	Lane	A	B	C	D	E	F	G	H
P35	1	0.184	0.174	0.153	0.165	0.171	0.168	0.177	0.127
P35	2	0.185	0.227	0.225	0.211	0.241	0.220	0.205	0.126
P35	3	0.184	0.267	0.253	0.237	0.231	0.238	0.237	0.123
P35	4	0.221	0.257	0.260	0.233	0.256	0.248	0.243	0.124
P35	5	0.193	0.266	0.289	0.284	0.305	0.249	0.225	0.121
P35	6	0.179	0.279	0.279	0.259	0.256	0.254	0.243	0.123
P35	7	0.201	0.277	0.270	0.279	0.263	0.254	0.261	0.117
P35	8	0.231	0.322	0.238	0.271	0.255	0.260	0.252	0.121
P35	9	0.171	0.225	0.202	0.241	0.231	0.226	0.197	0.119
P35	10	0.172	0.261	0.246	0.282	0.285	0.270	0.251	0.120
P35	11	0.223	0.259	0.253	0.258	0.261	0.266	0.204	0.119
P35	12	0.182	0.173	0.186	0.174	0.172	0.174	0.189	0.120

